episode,avg_steps,avg_reward,epsilon,loss,action_counts
7406,313.44,215.4089894809727,0.11671135046346744,0.5717,"{0: 0.34, 1: 0.15, 2: 0.38, 3: 0.13}"
7506,305.52,203.339551022081,0.11337485059590473,0.5238,"{0: 0.25, 1: 0.22, 2: 0.37, 3: 0.16}"
7606,264.24,179.67417294777323,0.11013373332242589,1.0327,"{0: 0.31, 1: 0.18, 2: 0.38, 3: 0.13}"
7706,309.28,231.94911027943598,0.1069852718815699,1.3338,"{0: 0.49, 1: 0.13, 2: 0.28, 3: 0.1}"
7806,260.24,190.13650090356845,0.10392681746349894,2.4890,"{0: 0.38, 1: 0.15, 2: 0.34, 3: 0.13}"
7906,286.08,209.50607395529522,0.10095579698154752,3.0741,"{0: 0.38, 1: 0.12, 2: 0.34, 3: 0.17}"
8006,258.56,181.08079491126412,0.0980697109074766,2.0441,"{0: 0.39, 1: 0.11, 2: 0.35, 3: 0.15}"
8106,202.32,145.64798708797264,0.09526613116861364,0.2646,"{0: 0.39, 1: 0.11, 2: 0.33, 3: 0.18}"
8206,192.08,120.37923404707854,0.09254269910510765,0.3486,"{0: 0.3, 1: 0.18, 2: 0.38, 3: 0.14}"
8306,190.48,124.49624778201301,0.09,4.3698,"{0: 0.33, 1: 0.15, 2: 0.39, 3: 0.13}"
8407,205.7029702970297,142.60607810496754,0.09,0.4357,"{0: 0.3, 1: 0.15, 2: 0.41, 3: 0.15}"
8507,194.4,150.38832403780307,0.09,1.2811,"{0: 0.36, 1: 0.14, 2: 0.33, 3: 0.17}"
8607,197.44,126.78675227552849,0.09,0.3539,"{0: 0.26, 1: 0.18, 2: 0.39, 3: 0.17}"
8707,216.48,145.18704362838426,0.09,2.1177,"{0: 0.41, 1: 0.13, 2: 0.33, 3: 0.13}"
8807,235.36,189.95149525966085,0.09,0.9046,"{0: 0.35, 1: 0.2, 2: 0.33, 3: 0.12}"
8907,294.08,223.67278631377042,0.09,1.9681,"{0: 0.41, 1: 0.12, 2: 0.33, 3: 0.14}"
9007,268.56,223.88198865646302,0.09,1.7699,"{0: 0.36, 1: 0.16, 2: 0.33, 3: 0.15}"
9108,222.5742574257426,214.43979710035381,0.09,2.0031,"{0: 0.35, 1: 0.13, 2: 0.38, 3: 0.13}"
9208,264.72,222.46606273976082,0.09,0.6494,"{0: 0.17, 1: 0.19, 2: 0.44, 3: 0.21}"
9308,241.6,214.72157850819195,0.09,1.8111,"{0: 0.11, 1: 0.21, 2: 0.48, 3: 0.2}"
9408,260.88,226.64501485931044,0.09,1.2204,"{0: 0.32, 1: 0.14, 2: 0.39, 3: 0.14}"
9508,270.96,232.7809522633488,0.09,1.3515,"{0: 0.38, 1: 0.14, 2: 0.32, 3: 0.16}"
9609,279.2079207920792,241.0172507106165,0.09,1.0009,"{0: 0.36, 1: 0.13, 2: 0.37, 3: 0.13}"
9711,277.2549019607843,227.0979278802596,0.09,0.4307,"{0: 0.34, 1: 0.14, 2: 0.37, 3: 0.15}"
9811,334.96,249.5011084296619,0.09,0.5550,"{0: 0.27, 1: 0.13, 2: 0.47, 3: 0.13}"
9911,309.68,167.62086234322837,0.09,2.2470,"{0: 0.37, 1: 0.13, 2: 0.38, 3: 0.12}"
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
episode,avg_steps,avg_reward,epsilon,loss,action_counts
